motor_control,world_x,world_y,world_z,world_p,world_q,world_r,x_img,y_img,x_screen,y_screen,motor_0,motor_1,motor_2,motor_3,link_0,link_1,link_2,link_3
"0:90.0,1:120.0,2:30.0,3:120.0,4:10.0,5:10.0",0.1382429526715612,0.0009497182215716,0.0941229174131163,8.721492679383946e-07,0.0017040410234315,-0.0005118125690807,318,345,-0.0062499999999999,-0.4375,90.0,120.0,30.0,120.0,0.1,0.124,0.06,0.03
"0:90.0,1:150.0,2:30.0,3:90.0,4:10.0,5:10.0",0.1257664651075924,0.0009561038360076,0.1273357167785602,8.721493500848404e-07,0.0017040411839136,-0.0005118125690804,319,360,-0.003125,-0.5,90.0,150.0,30.0,90.0,0.1,0.124,0.06,0.03
"0:90.0,1:170.0,2:10.0,3:90.0,4:10.0,5:10.0",0.1162339060158336,0.0009609827129117,0.1014328348205559,2.625482923550352e-07,0.0005129780775133,-0.0005118118933319,318,363,-0.0062499999999999,-0.5125,90.0,170.0,10.0,90.0,0.1,0.124,0.06,0.03
"0:120.0,1:10.0,2:170.0,3:90.0,4:10.0,5:10.0",0.2420236492805467,0.1176507771209798,0.1014327429443123,-0.0002562548199101,0.0004443872731486,0.5230715786063309,226,263,-0.2937499999999999,-0.0958333333333334,120.0,10.0,170.0,90.0,0.1,0.124,0.06,0.03
"0:120.0,1:30.0,2:150.0,3:90.0,4:10.0,5:10.0",0.2338387537604354,0.112930977763075,0.1272531141477207,-0.0008512431121096,0.0014761919954899,0.5230721499674253,226,271,-0.2937499999999999,-0.1291666666666666,120.0,30.0,150.0,90.0,0.1,0.124,0.06,0.03
"0:120.0,1:60.0,2:90.0,3:120.0,4:10.0,5:10.0",0.1939149476366273,0.0899090156567646,0.0941054156990896,-0.0007670990727417,0.0013302729562167,0.5230720318938148,248,301,-0.2249999999999999,-0.2541666666666666,120.0,60.0,90.0,120.0,0.1,0.124,0.06,0.03
"0:120.0,1:90.0,2:60.0,3:120.0,4:10.0,5:10.0",0.1592690645380335,0.0699305545510728,0.1048432428202552,-0.0007670990727413,0.0013302729562167,0.5230720318938149,263,329,-0.1781249999999999,-0.3708333333333333,120.0,90.0,60.0,120.0,0.1,0.124,0.06,0.03
"0:120.0,1:120.0,2:30.0,3:120.0,4:10.0,5:10.0",0.1246068048752689,0.0499426499409594,0.0941229174131163,-0.000851243031942,0.0014761918564666,0.5230721499673071,280,355,-0.125,-0.4791666666666667,120.0,120.0,30.0,120.0,0.1,0.124,0.06,0.03
"0:120.0,1:150.0,2:30.0,3:90.0,4:10.0,5:10.0",0.1137985606427283,0.0437101031645855,0.1273357167785603,-0.0008512431121097,0.0014761919954903,0.5230721499674253,283,370,-0.1156249999999999,-0.5416666666666667,120.0,150.0,30.0,90.0,0.1,0.124,0.06,0.03
"0:120.0,1:170.0,2:10.0,3:90.0,4:10.0,5:10.0",0.1055406093325824,0.0389481763696233,0.1014328348205561,-0.0002562548199102,0.0004443872731484,0.5230715786063307,288,371,-0.0999999999999999,-0.5458333333333334,120.0,170.0,10.0,90.0,0.1,0.124,0.06,0.03
"0:150.0,1:10.0,2:170.0,3:90.0,4:10.0,5:10.0",0.1561353571093511,0.202898593033277,0.1014327429443124,-0.0004441128535973,0.0002567301200556,1.046654912010204,158,331,-0.50625,-0.3791666666666666,150.0,10.0,170.0,90.0,0.1,0.124,0.06,0.03
"0:150.0,1:30.0,2:150.0,3:90.0,4:10.0,5:10.0",0.1514068030247332,0.194718752147119,0.1272531141477208,-0.0014752808996214,0.0008528211488795,1.0466554840771576,159,339,-0.503125,-0.4125000000000001,150.0,30.0,150.0,90.0,0.1,0.124,0.06,0.03
"0:150.0,1:60.0,2:90.0,3:120.0,4:10.0,5:10.0",0.1283421376229015,0.1548196012221014,0.0941054156990897,-0.0013294518298654,0.0007685212803614,1.0466553658577409,197,352,-0.384375,-0.4666666666666665,150.0,60.0,90.0,120.0,0.1,0.124,0.06,0.03
"0:150.0,1:90.0,2:60.0,3:120.0,4:10.0,5:10.0",0.1083266185929307,0.120195113907573,0.1048432428202554,-0.0013294518298654,0.000768521280361,1.0466553658577409,223,370,-0.303125,-0.5416666666666667,150.0,90.0,60.0,120.0,0.1,0.124,0.06,0.03
"0:150.0,1:120.0,2:30.0,3:120.0,4:10.0,5:10.0",0.0883016385418361,0.0855542601423267,0.0941229174131164,-0.0014752807606836,0.0008528210685638,1.046655484077039,252,384,-0.2125,-0.6000000000000001,150.0,120.0,30.0,120.0,0.1,0.124,0.06,0.03
"0:150.0,1:150.0,2:30.0,3:90.0,4:10.0,5:10.0",0.0820575310528943,0.0747526906093148,0.1273357167785604,-0.0014752808996214,0.0008528211488797,1.046655484077158,257,396,-0.196875,-0.6499999999999999,150.0,150.0,30.0,90.0,0.1,0.124,0.06,0.03
"0:150.0,1:170.0,2:10.0,3:90.0,4:10.0,5:10.0",0.0772867713892861,0.0664998390491932,0.1014328348205561,-0.0004441128535974,0.0002567301200555,1.046654912010204,266,394,-0.1687499999999999,-0.6416666666666666,150.0,170.0,10.0,90.0,0.1,0.124,0.06,0.03
"0:170.0,1:10.0,2:170.0,3:90.0,4:10.0,5:10.0",0.0797778843134716,0.2303757368850808,0.1014327429443122,-0.0005051202371355,8.944341036336357e-05,1.395539496047958,136,392,-0.575,-0.6333333333333333,170.0,10.0,170.0,90.0,0.1,0.124,0.06,0.03
"0:170.0,1:30.0,2:150.0,3:90.0,4:10.0,5:10.0",0.0781304811672924,0.2210722384286947,0.1272531141477207,-0.0016779385858217,0.0002971183302593,1.3955397227313355,137,399,-0.571875,-0.6625000000000001,170.0,30.0,150.0,90.0,0.1,0.124,0.06,0.03
"0:170.0,1:60.0,2:90.0,3:120.0,4:10.0,5:10.0",0.0700948741574857,0.1756921761257431,0.0941054156990895,-0.0015120772004784,0.0002677487119772,1.395539675886521,181,398,-0.4343749999999999,-0.6583333333333334,170.0,60.0,90.0,120.0,0.1,0.124,0.06,0.03
"0:170.0,1:90.0,2:60.0,3:120.0,4:10.0,5:10.0",0.0631215735602312,0.1363113533484905,0.104843242820255,-0.0015120772004782,0.0002677487119772,1.3955396758865206,210,406,-0.34375,-0.6916666666666667,170.0,90.0,60.0,120.0,0.1,0.124,0.06,0.03
"0:170.0,1:120.0,2:30.0,3:120.0,4:10.0,5:10.0",0.0561449767934295,0.0969119158755343,0.0941229174131162,-0.0016779384277986,0.0002971183022776,1.395539722731289,243,409,-0.2406249999999999,-0.7041666666666666,170.0,120.0,30.0,120.0,0.1,0.124,0.06,0.03
"0:170.0,1:150.0,2:30.0,3:90.0,4:10.0,5:10.0",0.0539695628850163,0.084626544206878,0.1273357167785603,-0.0016779385858221,0.0002971183302591,1.3955397227313362,249,419,-0.221875,-0.7458333333333333,170.0,150.0,30.0,90.0,0.1,0.124,0.06,0.03
"0:170.0,1:170.0,2:10.0,3:90.0,4:10.0,5:10.0",0.05230745553912,0.0752400056642614,0.1014328348205559,-0.0005051202371356,8.944341036322087e-05,1.3955394960479586,259,414,-0.190625,-0.7250000000000001,170.0,170.0,10.0,90.0,0.1,0.124,0.06,0.03
