raw_motor_0,raw_motor_1,raw_motor_2,raw_motor_3,motor_0,motor_1,motor_2,motor_3,x_expected,y_expected,z_expected,x_img,y_img,x_screen,y_screen
-0.43633232,1.654161,-1.863183,0.3835549,55.0,85.0,157.0,72.0,0.1336283,-0.0623119,0.08,439.75,245.75,0.37421875000000004,-0.023958333333333304
-0.43633235,1.8642544,-2.0410006,0.35127932,55.0,97.0,167.0,71.0,0.11565399,-0.053930346,0.08,426.75,273.0,0.3335937499999999,-0.13749999999999996
-0.43633235,1.5624315,-1.7742884,0.3863899,55.0,80.0,152.0,73.0,0.1418665,-0.066153444,0.08,444.25,235.5,0.3882812499999999,0.018750000000000044
-0.43633235,1.5624315,-1.7742884,0.3863899,55.0,80.0,152.0,73.0,0.1418665,-0.066153444,0.08,444.25,235.5,0.3882812499999999,0.018750000000000044
-0.43633235,1.8642544,-2.0410006,0.35127932,55.0,97.0,167.0,71.0,0.11565399,-0.053930346,0.08,426.75,273.0,0.3335937499999999,-0.13749999999999996
-0.43633232,1.654161,-1.863183,0.3835549,55.0,85.0,157.0,72.0,0.1336283,-0.0623119,0.08,438.0,247.5,0.3687499999999999,-0.03125
-0.43633235,1.3669602,-1.5617987,0.36937147,55.0,69.0,140.0,72.0,0.1598408,-0.074535,0.08,459.25,205.0,0.4351562499999999,0.14583333333333348
-0.43633232,1.654161,-1.863183,0.3835549,55.0,85.0,157.0,72.0,0.1336283,-0.0623119,0.08,440.25,246.0,0.37578124999999996,-0.02499999999999991
-0.14544412,1.6541611,-1.8631831,0.3835549,72.0,85.0,157.0,72.0,0.14588575,-0.021369118,0.08,383.75,230.75,0.19921875,0.038541666666666696
-0.14544411,1.36696,-1.5617986,0.36937147,72.0,69.0,140.0,72.0,0.1745027,-0.025560884,0.08,388.25,186.0,0.2132812500000001,0.2250000000000001
-0.14544412,1.6541611,-1.8631831,0.3835549,72.0,85.0,157.0,72.0,0.14588575,-0.021369118,0.08,385.5,231.25,0.2046874999999999,0.03645833333333348
-0.14544412,1.8642544,-2.0410006,0.35127932,72.0,97.0,167.0,71.0,0.12626271,-0.018494766,0.08,382.75,261.0,0.19609374999999996,-0.08749999999999991
-0.14544411,1.5624313,-1.7742883,0.3863899,72.0,80.0,152.0,73.0,0.15487966,-0.02268653,0.08,386.0,219.5,0.20625000000000004,0.0854166666666667
-0.14544411,1.5624313,-1.7742883,0.3863899,72.0,80.0,152.0,73.0,0.15487966,-0.02268653,0.08,386.25,219.5,0.20703125,0.0854166666666667
-0.14544412,1.8642544,-2.0410006,0.35127932,72.0,97.0,167.0,71.0,0.12626271,-0.018494766,0.08,383.0,261.0,0.1968749999999999,-0.08749999999999991
-0.14544412,1.6541611,-1.8631831,0.3835549,72.0,85.0,157.0,72.0,0.14588575,-0.021369118,0.08,385.5,232.25,0.2046874999999999,0.03229166666666661
-0.14544411,1.36696,-1.5617986,0.36937147,72.0,69.0,140.0,72.0,0.1745027,-0.025560884,0.08,390.5,185.75,0.2203124999999999,0.2260416666666667
-0.14544412,1.6541611,-1.8631831,0.3835549,72.0,85.0,157.0,72.0,0.14588575,-0.021369118,0.08,386.75,231.25,0.2085937499999999,0.03645833333333348
0.14544412,1.6541611,-1.8631831,0.3835549,89.0,85.0,157.0,72.0,0.14588575,0.021369118,0.08,333.0,234.5,0.04062499999999991,0.022916666666666696
0.14544411,1.36696,-1.5617986,0.36937147,89.0,69.0,140.0,72.0,0.1745027,0.025560884,0.08,322.75,190.75,0.008593749999999956,0.20520833333333321
0.14544412,1.6541611,-1.8631831,0.3835549,89.0,85.0,157.0,72.0,0.14588575,0.021369118,0.08,332.75,234.0,0.039843749999999956,0.02499999999999991
0.14544412,1.8642544,-2.0410006,0.35127932,89.0,97.0,167.0,71.0,0.12626271,0.018494766,0.08,339.75,263.5,0.061718750000000044,-0.09791666666666665
0.14544411,1.5624313,-1.7742883,0.3863899,89.0,80.0,152.0,73.0,0.15487966,0.02268653,0.08,329.75,222.5,0.030468750000000044,0.07291666666666652
0.14544411,1.5624313,-1.7742883,0.3863899,89.0,80.0,152.0,73.0,0.15487966,0.02268653,0.08,330.0,222.75,0.03125,0.07187499999999991
0.14544412,1.8642544,-2.0410006,0.35127932,89.0,97.0,167.0,71.0,0.12626271,0.018494766,0.08,339.75,263.5,0.061718750000000044,-0.09791666666666665
0.14544412,1.6541611,-1.8631831,0.3835549,89.0,85.0,157.0,72.0,0.14588575,0.021369118,0.08,333.0,235.75,0.04062499999999991,0.017708333333333215
0.14544411,1.36696,-1.5617986,0.36937147,89.0,69.0,140.0,72.0,0.1745027,0.025560884,0.08,322.5,190.5,0.0078125,0.20625000000000004
0.14544412,1.6541611,-1.8631831,0.3835549,89.0,85.0,157.0,72.0,0.14588575,0.021369118,0.08,333.25,234.0,0.04140625000000009,0.02499999999999991
0.43633232,1.654161,-1.863183,0.3835549,105.0,85.0,157.0,72.0,0.1336283,0.0623119,0.08,284.5,254.0,-0.11093750000000002,-0.05833333333333335
0.43633235,1.3669602,-1.5617987,0.36937147,105.0,69.0,140.0,72.0,0.1598408,0.074535,0.08,260.5,216.25,-0.18593749999999998,0.09895833333333348
0.43633232,1.654161,-1.863183,0.3835549,105.0,85.0,157.0,72.0,0.1336283,0.0623119,0.08,284.5,254.0,-0.11093750000000002,-0.05833333333333335
0.43633235,1.8642544,-2.0410006,0.35127932,105.0,97.0,167.0,71.0,0.11565399,0.053930346,0.08,301.25,279.25,-0.05859375,-0.1635416666666667
0.43633235,1.5624315,-1.7742884,0.3863899,105.0,80.0,152.0,73.0,0.1418665,0.066153444,0.08,279.25,243.75,-0.12734374999999998,-0.015625
0.43633235,1.5624315,-1.7742884,0.3863899,105.0,80.0,152.0,73.0,0.1418665,0.066153444,0.08,279.25,243.75,-0.12734374999999998,-0.015625
0.43633235,1.8642544,-2.0410006,0.35127932,105.0,97.0,167.0,71.0,0.11565399,0.053930346,0.08,301.25,278.75,-0.05859375,-0.16145833333333326
0.43633232,1.654161,-1.863183,0.3835549,105.0,85.0,157.0,72.0,0.1336283,0.0623119,0.08,286.0,254.5,-0.10624999999999996,-0.06041666666666656
0.43633235,1.3669602,-1.5617987,0.36937147,105.0,69.0,140.0,72.0,0.1598408,0.074535,0.08,261.75,215.25,-0.18203124999999998,0.10312499999999991
0.43633232,1.654161,-1.863183,0.3835549,105.0,85.0,157.0,72.0,0.1336283,0.0623119,0.08,285.5,253.25,-0.10781249999999998,-0.055208333333333304
0.72722054,1.654161,-1.863183,0.3835549,122.0,85.0,157.0,72.0,0.11014325,0.098019175,0.08,242.5,290.5,-0.2421875,-0.2104166666666667
0.72722054,1.36696,-1.5617987,0.36937147,122.0,69.0,140.0,72.0,0.13174894,0.117246605,0.08,206.75,262.75,-0.35390625,-0.09479166666666661
