motor_0,motor_1,motor_2,motor_3,x_img,y_img,x_screen,y_screen
-1.5645670567151018,-0.20924964394672577,-0.3446875059003158,0.553937149601901,440,422,0.375,-0.7583333333333333
-1.5432831462351213,-0.36039744156558406,-0.1619135151367048,0.5223109566924452,451,419,0.40937500000000004,-0.7458333333333333
-1.5645670567066359,-0.20924978342652875,-0.34468736859166343,0.5539371520279994,440,422,0.375,-0.7583333333333333
-1.5707963267948966,-0.13701084294509874,-0.42631648437458225,0.5633273273068437,435,422,0.359375,-0.7583333333333333
-1.524119109071227,-0.5211947140169558,0.04879561670824643,0.4723990972241025,462,416,0.4437500000000001,-0.7333333333333334
-1.5087670957282837,-0.6786278843631243,0.2690760881670703,0.40955179580159656,473,413,0.4781249999999999,-0.7208333333333334
-1.5241191090573032,-0.5211949272311502,0.04879589746730717,0.4723990298188692,462,416,0.4437500000000001,-0.7333333333333334
-1.5707963267948966,-0.13701085841719413,-0.4263164704842421,0.563327328921582,435,422,0.359375,-0.7583333333333333
-1.5707963267948966,-0.04903235061098821,-0.5204911246273204,0.5695234751597485,429,422,0.34062499999999996,-0.7583333333333333
-1.564864908435164,-0.20728004502072297,-0.3469636173530669,0.5542436623640576,440,422,0.375,-0.7583333333333333
-1.5707963267948966,-0.019418470690064474,-0.5508752634474893,0.570293734057185,427,422,0.3343750000000001,-0.7583333333333333
-1.530556941048303,-0.4637209559924696,-0.02830489060439047,0.49202584654400794,458,417,0.4312499999999999,-0.7375
-1.4935501970624343,-0.8824898082091549,0.5709247291627162,0.3115650447393711,485,409,0.515625,-0.7041666666666666
-1.4821049503680381,-1.1075140929723228,0.9203451010245013,0.18716761468723592,496,407,0.55,-0.6958333333333333
-1.493550174298543,-0.8827979632941155,0.5713972492084287,0.311400778046816,485,409,0.515625,-0.7041666666666666
-1.4994049848453654,-0.7959003551861064,0.4407080800035812,0.3551922779581322,480,411,0.5,-0.7124999999999999
-1.471361794147647,-1.3899314753673304,1.372198205868341,0.017668577881309606,503,404,0.5718749999999999,-0.6833333333333333
-1.4624396464316618,-1.510739066230765,1.5634591989903492,-0.05297376864568663,503,402,0.5718749999999999,-0.675
-1.4713607048108734,-1.509479398166325,1.5678759959677706,-0.058460831271125176,504,404,0.575,-0.6833333333333333
-1.499371499647525,-1.372972933077507,1.3632851174034326,0.010005330135507804,505,410,0.578125,-0.7083333333333333
-1.493549994016283,-0.8852397815751392,0.5751431198922382,0.31009750480629145,486,409,0.51875,-0.7041666666666666
-1.482104948899689,-1.1075408048335662,0.9203878387598339,0.1871515976399461,496,407,0.55,-0.6958333333333333
-1.4935501742979411,-0.8827980065803839,0.5713973155861358,0.3114007549691827,485,409,0.515625,-0.7041666666666666
-1.5305569410370616,-0.46372115544011133,-0.028304638209573723,0.4920257937582308,458,417,0.4312499999999999,-0.7375
-1.5707963267948966,-0.019418506609751793,-0.5508752359014344,0.5702937425205642,427,422,0.3343750000000001,-0.7583333333333333
